layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.5989645826589048,0.8038086462412655,0.6755040044186689,0.31758109731678014,5234,0.8930216686572258,519,0.08855144173349258,108,0.018426889609281693,817,0.1634980988593156,3669,0.7342405443265959,511,0.10226135681408845,1111,0.3101619207146845,1678,0.4684533780011167,793,0.22138470128419876,0.9269688659395292,0.31756650885108145,0.8573147944584724,0.8543515947371804,0.8820750769622029
1,0.6440355699049396,0.8302007518195633,0.6937649439028877,0.4081410139923678,5190,0.8855144173349258,479,0.08172666780412899,192,0.03275891486094523,619,0.12387432459475685,3772,0.7548529117470483,606,0.12127276365819492,833,0.23255164712451146,1626,0.4539363484087102,1123,0.31351200446677835,0.9518107240513618,0.4079041714908452,0.8606536609574154,0.8773663833061704,0.8971053752787645
2,0.6762942859909108,0.8630081629354239,0.7150278293135436,0.45084686572376464,5339,0.9109367002218052,338,0.05766933970312233,184,0.031393960075072516,473,0.09465679407644587,3854,0.7712627576545927,670,0.13408044826896137,700,0.1954215522054718,1591,0.44416527079843665,1291,0.36041317699609154,0.9698311103441135,0.4502805099600777,0.8641684603376095,0.9075928257986037,0.922549175276744
3,0.6754523363276542,0.8588877127269766,0.70887716375081,0.458592132505176,5274,0.8998464425865893,414,0.07063641016891316,173,0.029517147244497527,456,0.09125475285171103,3829,0.7662597558535121,712,0.14248549129477686,690,0.19262981574539365,1563,0.43634840871021774,1329,0.3710217755443886,0.9692865233174832,0.45837698271711663,0.864063899301905,0.9018627569637859,0.9161311343195052
4,0.6817524237914853,0.8661752661752662,0.7122241876920212,0.46685781750716815,5288,0.9022351134618666,379,0.06466473298072001,194,0.03310015355741341,403,0.08064838903342005,3825,0.7654592755653392,769,0.15389233540124075,658,0.1836962590731435,1540,0.42992741485203795,1384,0.38637632607481853,0.9768714242397213,0.46682855125091016,0.8622695594275008,0.9117290281494824,0.9246067958844086
5,0.7720927056762227,0.9814971991172976,0.7516094936100701,0.5831714243013002,5782,0.986521071489507,5,0.0008530967411704487,74,0.012625831769322641,2,0.00040024014408645187,3911,0.7826696017610566,1084,0.2169301580948569,137,0.03824678950307091,1494,0.41708542713567837,1951,0.5446677833612507,0.9999959006788359,0.5830701372231077,0.8742952373744899,0.9991999997999998,0.9993171144368871
6,0.7765877588890805,0.9816170212765958,0.7553887605850654,0.5927574948055803,5767,0.9839617812659955,7,0.0011943354376386282,87,0.014843883296365807,0,0.0,3925,0.7854712827696618,1072,0.2145287172303382,122,0.034059184812953655,1463,0.4084310441094361,1997,0.5575097710776102,0.9999921484372625,0.5925327865303368,0.876069429641196,0.9993001498250373,0.9994023294811099
7,0.7817890040571035,0.9814373297002725,0.7601005219408467,0.6038291605301914,5763,0.9832793038730592,5,0.0008530967411704487,93,0.015867599385770346,0,0.0,3932,0.7868721232739644,1065,0.21312787672603561,120,0.03350083752093802,1412,0.3941931881630374,2050,0.5723059743160246,0.9999901023890786,0.603725581881617,0.8782197315249084,0.9995001497751872,0.9995730509652642
8,0.7763110446758809,0.9807659574468085,0.756870631044719,0.5912965455361149,5762,0.9831086845248251,11,0.001876812830574987,88,0.015014502644599897,5,0.0010006003602161296,3952,0.7908745247148289,1040,0.20812487492495496,122,0.034059184812953655,1483,0.4140145170295924,1977,0.551926298157454,0.9998736514087708,0.5912013298553628,0.8768486946006557,0.9982001992503495,0.9984635809384093
9,0.767631372547847,0.9780079816591661,0.7513812154696132,0.5735049205147615,5759,0.9825968264801228,10,0.0017061934823408974,92,0.015696980037536258,16,0.003201921152691615,3944,0.789273564138483,1037,0.2075245147088253,141,0.03936348408710218,1547,0.43188163037409266,1894,0.5287548855388051,0.9998834100705107,0.5732554105316676,0.8735285729285767,0.9967959927877278,0.997271297039626
