layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.6500262733742357,0.8169831661000083,0.6706491437674234,0.4624465102552752,4926,0.8404709094011261,424,0.07234260365125406,511,0.08718648694761987,512,0.10246147688613168,3368,0.6740044026415849,1117,0.22353412047228338,760,0.21217197096594081,1255,0.35036292573981015,1567,0.43746510329424904,0.9451548907978242,0.46227997008032107,0.8351796484995267,0.8793945757120614,0.898619805140181
1,0.677327699129029,0.8568536482496837,0.6861891571032845,0.4889402920341188,5079,0.8665756696809418,316,0.05391571404197236,466,0.07950861627708582,351,0.0702421452871723,3468,0.6940164098459075,1178,0.23574144486692014,564,0.1574539363484087,1327,0.370463428252373,1691,0.4720826353992183,0.9714272091684396,0.4889321329278353,0.8390376143428012,0.913800839441002,0.9270533471627098
2,0.7032835874783023,0.8801555104800541,0.7068047039903508,0.5228905479645021,5207,0.8884149462549054,207,0.03531820508445658,447,0.07626684866063811,267,0.053432059235541327,3516,0.7036221733039824,1214,0.24294576746047628,497,0.13874930206588498,1229,0.34310441094360694,1856,0.5181462869905081,0.9833052270129882,0.5227076141611018,0.8444996270869238,0.9349277178650247,0.9451994578534896
3,0.7113859798018264,0.8846088866362561,0.7132124611840128,0.5363365915852104,5236,0.893362907353694,206,0.03514758573622249,419,0.0714895069100836,272,0.05443265959575745,3560,0.7124274564738843,1165,0.23313988393035823,469,0.1309324399776661,1220,0.3405918481295366,1893,0.5284757118927973,0.9834518934641865,0.5362117177343327,0.8499990013711175,0.9376394282650097,0.9474927775489228
4,0.718761115732252,0.8831344672928831,0.7260191846522782,0.5471296952515946,5218,0.8902917590854803,201,0.03429448899505204,442,0.07541375191946767,263,0.05263157894736842,3633,0.7270362217330398,1101,0.22033219931959175,475,0.13260748185371302,1177,0.32858738135120047,1930,0.5388051367950866,0.9847147083786736,0.5470250129669443,0.8535975976307288,0.9378257152240991,0.9476764372516676
5,0.7739013375256385,0.9679404975634778,0.755120213713268,0.5986433013001696,5661,0.9658761303531821,5,0.0008530967411704487,195,0.0332707729056475,0,0.0,3816,0.7636581949169502,1181,0.23634180508304983,175,0.04885538805136795,1289,0.35985482970407595,2118,0.5912897822445561,0.9999955588694498,0.5986536053139526,0.869709554049523,0.9993002497752123,0.9994022567722668
6,0.777060018638161,0.9684192557186753,0.759608734314791,0.6031520658810167,5673,0.9679235625319911,4,0.000682477392936359,184,0.031393960075072516,0,0.0,3844,0.7692615569341605,1153,0.23073844306583952,182,0.05080960357342267,1276,0.3562255723059743,2124,0.592964824120603,0.9999952194515334,0.6029229746771109,0.8720131006200772,0.999400099950025,0.9994876903165233
7,0.7753968227382088,0.9687393235394602,0.7549194991055456,0.6025316455696202,5671,0.9675823238355229,3,0.0005118580447022692,187,0.03190581811977478,0,0.0,3798,0.7600560336201722,1199,0.2399439663798279,176,0.04913456169737577,1264,0.3528754885538805,2142,0.5979899497487438,0.9999945387366889,0.6025034163332924,0.8701827707376358,0.9994001997501998,0.9994876903165233
8,0.7773634545044192,0.9679459782887426,0.7576330183988066,0.6065113668257087,5662,0.9660467497014161,2,0.0003412386964681795,197,0.03361201160211568,2,0.00040024014408645187,3809,0.7622573544126476,1186,0.23734240544326596,174,0.048576214405360134,1247,0.3481295365717476,2161,0.6032942490228922,0.9999501299627477,0.6064365704173749,0.8711017375037562,0.9988995492747369,0.9990613968440064
9,0.7753842765367037,0.9668432746539053,0.7565157070657021,0.6027938478905037,5657,0.9651936529602457,8,0.001364954785872718,196,0.03344139225388159,7,0.0014008405043025814,3817,0.7638583149889934,1173,0.23474084450670402,177,0.049413735343383586,1269,0.3542713567839196,2136,0.5963149078726968,0.9999731950773605,0.6027163931713042,0.8708252405747203,0.9979989981467435,0.9982934421524948
