layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.5931108918231977,0.852006437392802,0.535163117497238,0.39216312057955294,5938,0.9425396825396826,142,0.02253968253968254,220,0.03492063492063492,840,0.2951510892480675,1445,0.5077301475755446,561,0.1971187631763879,861,0.3228346456692913,965,0.3618297712785902,841,0.3153355830521185
1,0.6244666226490918,0.8646255336628894,0.5852002133513318,0.423574120933054,5820,0.9238095238095239,218,0.0346031746031746,262,0.04158730158730159,584,0.20520028109627547,1664,0.5846802529866479,598,0.2101194659170766,759,0.2845894263217098,959,0.35958005249343833,949,0.35583052118485187
2,0.6595697455529592,0.8852908705490572,0.6227518057554693,0.4706665603543513,5917,0.9392063492063492,145,0.023015873015873017,238,0.03777777777777778,462,0.16233309908643712,1755,0.6166549543218552,629,0.22101194659170767,689,0.2583427071616048,890,0.333708286464192,1088,0.4079490063742032
3,0.6714477239864146,0.8971888990547836,0.6247154704624069,0.49243880244205346,5954,0.9450793650793651,106,0.016825396825396827,240,0.0380952380952381,408,0.1433591004919185,1740,0.6113843991567112,698,0.24525650035137034,611,0.22909636295463068,878,0.32920884889388824,1178,0.44169478815148105
4,0.6811154797740704,0.8995899802559112,0.6316536029119607,0.512102856154339,5982,0.9495238095238095,103,0.01634920634920635,215,0.034126984126984124,403,0.1416022487702038,1740,0.6113843991567112,703,0.24701335207308503,615,0.23059617547806524,818,0.3067116610423697,1234,0.46269216347956504
5,0.7637445437971712,0.9817658538918579,0.6931646691180489,0.6163031083816064,6192,0.9828571428571429,3,0.0004761904761904762,105,0.016666666666666666,4,0.0014054813773717498,2012,0.7069571328179901,830,0.2916373858046381,118,0.044244469441319836,944,0.3539557555305587,1605,0.6017997750281214
6,0.7709784514723204,0.9811936571915542,0.7019441522539314,0.6297975449714754,6183,0.9814285714285714,5,0.0007936507936507937,112,0.017777777777777778,7,0.002459592410400562,2031,0.713633169360506,808,0.2839072382290935,113,0.04236970378702662,905,0.3393325834270716,1649,0.6182977127859017
7,0.7710600789181531,0.9812656960312202,0.7064167765514395,0.6254977641717993,6181,0.9811111111111112,1,0.00015873015873015873,118,0.01873015873015873,1,0.00035137034434293746,2061,0.7241742796907941,784,0.275474349964863,116,0.04349456317960255,927,0.34758155230596177,1624,0.6089238845144357
8,0.7639451389091846,0.9810222209413595,0.6945374716008315,0.6162757241853625,6177,0.9804761904761905,3,0.0004761904761904762,120,0.01904761904761905,2,0.0007027406886858749,2018,0.7090653548840478,826,0.2902319044272663,114,0.04274465691788527,944,0.3539557555305587,1609,0.6032995875515561
9,0.7611383070403742,0.9775788142042006,0.6890883233844548,0.6167477835324672,6171,0.9795238095238096,9,0.0014285714285714286,120,0.01904761904761905,17,0.0059732958538299364,1978,0.6950105411103303,851,0.2990161630358398,137,0.051368578927634044,908,0.34045744281964757,1622,0.6081739782527185
10,0.7593328119067216,0.9575173773121508,0.6981051440102369,0.6223759143977772,6097,0.9677777777777777,29,0.004603174603174603,174,0.02761904761904762,103,0.03619114546732256,1970,0.6921995783555868,773,0.27160927617709063,235,0.08811398575178103,799,0.2995875515560555,1633,0.6122984626921635
11,0.7855734998994558,0.9812489976738773,0.7167551962349717,0.658716305789518,6177,0.9804761904761905,0,0.0,123,0.019523809523809523,0,0.0,2026,0.7118763176387913,820,0.2881236823612087,113,0.04236970378702662,781,0.2928383952005999,1773,0.6647919010123734
12,0.7913483400215479,0.9814986471962678,0.7237739387669498,0.6687724341014258,6182,0.9812698412698413,0,0.0,118,0.01873015873015873,0,0.0,2037,0.7157413914265636,809,0.2842586085734364,115,0.04311961004874391,746,0.27971503562054745,1806,0.6771653543307087
13,0.8033292120667501,0.9815705490692002,0.7429650172673625,0.6854520698636878,6182,0.9812698412698413,0,0.0,118,0.01873015873015873,0,0.0,2104,0.7392832044975404,742,0.2607167955024596,114,0.04274465691788527,714,0.2677165354330709,1839,0.6895388076490439
14,0.8028688093038694,0.9805483064332747,0.7437881429892117,0.6842699784891216,6177,0.9804761904761905,0,0.0,123,0.019523809523809523,0,0.0,2104,0.7392832044975404,742,0.2607167955024596,122,0.045744281964754406,708,0.265466816647919,1837,0.6887889013873266
15,0.8019591871376516,0.9802196545916513,0.7417876830695229,0.6838702237517803,6172,0.9796825396825397,2,0.00031746031746031746,126,0.02,0,0.0,2094,0.735769501054111,752,0.26423049894588896,121,0.045369328833895765,704,0.26396700412448443,1842,0.6906636670416197
16,0.8063723977944296,0.9803088392899941,0.7495821906532072,0.6892261634400877,6176,0.9803174603174604,4,0.0006349206349206349,120,0.01904761904761905,0,0.0,2128,0.7477160927617709,718,0.2522839072382291,124,0.046494188226471694,700,0.26246719160104987,1843,0.6910386201724784
17,0.8074157274419974,0.9779239544220644,0.7554352420461561,0.6888879858577719,6160,0.9777777777777777,0,0.0,140,0.022222222222222223,0,0.0,2143,0.7529866479269149,703,0.24701335207308503,138,0.05174353205849269,685,0.2568428946381702,1844,0.6914135733033371
