layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.6101927791730656,0.8513523926947677,0.5589535089269931,0.4202724358974359,5524,0.8768253968253968,307,0.04873015873015873,469,0.07444444444444444,458,0.16092761770906536,1581,0.5555165144061841,807,0.2835558678847505,695,0.26059242594675663,923,0.3460817397825272,1049,0.39332583427071616,0.9343132014766461,0.4202344447004192,0.8446850716662301,0.8380408163697852,0.9293243196292558
1,0.6233653141532577,0.8683040935672515,0.5716297078493489,0.4301621410431725,5568,0.8838095238095238,244,0.03873015873015873,488,0.07746031746031747,359,0.12614195361911454,1624,0.5706254392129304,863,0.303232607167955,598,0.22422197225346832,968,0.3629546306711661,1101,0.4128233970753656,0.9581565674584821,0.4299660991591178,0.842363770084447,0.8751974398011647,0.945483922192037
2,0.6521982529552589,0.8881091617933723,0.6049910873440285,0.463494509728376,5695,0.903968253968254,165,0.02619047619047619,440,0.06984126984126984,268,0.09416725228390724,1697,0.5962754743499649,881,0.30955727336612787,562,0.21072365954255717,902,0.33820772403449567,1203,0.45106861642294716,0.9708657354184134,0.46326734930354296,0.8489175068211982,0.9071417331671261,0.959255780189993
3,0.6716044303975609,0.892018779342723,0.6313528990694345,0.4914416127805249,5700,0.9047619047619048,141,0.02238095238095238,459,0.07285714285714286,242,0.08503162333099086,1764,0.6198172874209417,840,0.2951510892480675,538,0.20172478440194977,837,0.3138357705286839,1292,0.4844394450693663,0.9758351566281451,0.49128077777103096,0.854409536819033,0.9137288835610695,0.9621737959061043
4,0.6779880596427875,0.8950689413414349,0.6375608876059895,0.5013343499809378,5745,0.9119047619047619,129,0.020476190476190478,426,0.06761904761904762,241,0.08468025298664793,1767,0.6208713984539704,838,0.29444834855938157,551,0.2065991751031121,801,0.30033745781777277,1315,0.49306336707911513,0.9771094833353644,0.5014527854044252,0.8576548557676202,0.9215013384021283,0.9655439272505376
5,0.7438320960969214,0.9697258641239571,0.6788766788766789,0.5828937452901282,6102,0.9685714285714285,3,0.0004761904761904762,195,0.030952380952380953,1,0.00035137034434293746,1946,0.6837666900913563,899,0.3158819395643008,182,0.06824146981627296,938,0.35170603674540685,1547,0.5800524934383202,0.9999880070220465,0.5828763008566008,0.8791320814764161,0.9987711567087374,0.9994442868364904
6,0.7375690575884083,0.9695576343745045,0.674507090971982,0.568642447418738,6115,0.9706349206349206,3,0.0004761904761904762,182,0.028888888888888888,2,0.0007027406886858749,1950,0.685172171468728,894,0.3141250878425861,197,0.0738657667791526,983,0.36857892763404576,1487,0.5575553055868017,0.9999949786593021,0.5686459368234191,0.8773542208317666,0.9985952557449963,0.9993648270123627
7,0.7506170958649081,0.9704621248213435,0.6888385861048233,0.5925505766685574,6111,0.97,2,0.00031746031746031746,187,0.029682539682539682,0,0.0,1978,0.6950105411103303,868,0.3049894588896697,183,0.0686164229471316,917,0.3438320209973753,1567,0.587551556055493,0.9999991631098837,0.5925493002023279,0.8824766583769168,0.999121728275813,0.9996031430715977
8,0.7481508970434484,0.9694128863112735,0.6872506504770165,0.5877891543420554,6101,0.9684126984126984,5,0.0007936507936507937,194,0.030793650793650793,2,0.0007027406886858749,1981,0.6960646521433591,863,0.303232607167955,184,0.06899137607799025,933,0.3498312710911136,1550,0.5811773528308961,0.9999888414651157,0.5877531354141252,0.8815322535582109,0.9984205864873428,0.9992854298262894
9,0.7407195376766008,0.9660371369623869,0.6791471658866355,0.5769743101807802,6087,0.9661904761904762,14,0.0022222222222222222,199,0.03158730158730159,14,0.004919184820801124,1959,0.6883345045678145,873,0.3067463106113844,201,0.07536557930258718,950,0.35620547431571054,1516,0.5684289463817023,0.9999127471089363,0.5768733356435647,0.8789770508327963,0.9934925077986041,0.9970648385016156
