layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.6782560886530714,0.8705503881390307,0.6353890489913545,0.5288288288288289,6224,0.8959262991219231,417,0.0600259104649489,306,0.044047790413127966,521,0.12119097464526635,2756,0.6410793207722726,1022,0.23772970458246104,607,0.16998039764771772,1203,0.3368804256510781,1761,0.49313917670120416,0.9479589266724998,0.5286615759829099,0.8633698866162524,0.870991056194417,0.9213411602636693
1,0.651995428143426,0.8427021351067553,0.6132097334878331,0.5000744158356898,6019,0.8664171584856772,495,0.07125377860947171,433,0.06232906290485102,618,0.1437543614794138,2646,0.6154919748778785,1035,0.24075366364270762,701,0.19630355642677122,1190,0.33323998879865585,1680,0.47045645477457293,0.9315212852706777,0.49990249720217494,0.8533748712132297,0.841077389530571,0.9037685881322568
2,0.6698169835034747,0.8644925499016025,0.6358620689655172,0.5090963316433045,6150,0.8852742190873758,409,0.05887433424499784,388,0.055851446667626314,493,0.11467783205396603,2766,0.6434054431263084,1040,0.2419167248197255,638,0.17866143937272472,1226,0.34332119854382526,1707,0.47801736208345,0.9506360313829451,0.5089663907818512,0.8563815258710676,0.8734494675853754,0.9226233110594972
3,0.6444893198021211,0.8212750968650934,0.6314578299390173,0.48073503260225253,5829,0.8390672232618397,533,0.07672376565423925,585,0.08420901108392112,585,0.1360781577110956,2744,0.6382879739474296,970,0.22563386834147475,834,0.23354802576309158,1115,0.31223746849621953,1622,0.4542145057406889,0.9315953528415207,0.48066187616762096,0.846858085508801,0.8368842507258464,0.8996896397658727
4,0.719267293198956,0.9120604807075101,0.6786751888436955,0.5670662100456622,6394,0.9203972937958831,226,0.03253202821361739,327,0.04707067799049949,256,0.05954873226331705,2920,0.6792277273784602,1123,0.2612235403582228,424,0.11873424810977318,1160,0.3248389806776813,1987,0.5564267712125455,0.9808984613832408,0.5669413565766132,0.865898082049702,0.9258535496040367,0.9544070866227503
5,0.7590443482738453,0.9546858168761221,0.716231817132302,0.6062154108131119,6647,0.9568158917518353,73,0.010508133007053404,227,0.03267597524111127,84,0.019539427773900907,3102,0.7215631542219121,1113,0.25889741800418703,247,0.06916830019602352,1188,0.33267992159059084,2136,0.5981517782133856,0.995899116403067,0.6060364528225065,0.8771294104247543,0.9754662701774219,0.9848106766698839
6,0.7377289233955932,0.9313206467305766,0.6996311664361456,0.5822349570200573,6509,0.9369512019576796,150,0.021592054124082338,288,0.04145674391823809,175,0.04070714119562689,3035,0.705978134449872,1089,0.25331472435450103,347,0.09717166059927192,1192,0.3338000560067208,2032,0.5690282833940072,0.9900226565753142,0.5820026107896377,0.871277900812982,0.9485071532223035,0.9683364170946784
7,0.7193061227627197,0.9037300177619894,0.6858006042296072,0.5683877462965626,6360,0.9155030948610912,237,0.03411544551605009,350,0.05038145962285879,292,0.06792277273784601,2951,0.6864387066759712,1056,0.24563852058618282,476,0.13329599551946233,1119,0.3133576029123495,1976,0.5533464015681882,0.9813305309702665,0.5684125467454562,0.8676410218263289,0.9224979319941096,0.9524282199308125
8,0.747396931250491,0.9380645161290323,0.7056381874783811,0.5984880901440593,6543,0.9418454008924716,142,0.02044047790413128,262,0.03771412120339715,159,0.03698534542916958,3060,0.7117934403349616,1080,0.2512212142358688,301,0.08429011481377766,1172,0.3281993839260711,2098,0.5875105012601513,0.9930831072333548,0.5983797638560715,0.8755466110451534,0.954824035817088,0.9720926682567134
9,0.7811079294768636,0.964797350802678,0.7420470262793915,0.6364794113485213,6701,0.964589031236505,44,0.006333669209730819,202,0.029077299553764216,35,0.008141428239125378,3219,0.7487787857641311,1045,0.24307978599674343,208,0.05824698963875665,1114,0.3119574348921871,2249,0.6297955754690563,0.9989676437561341,0.6363655943799013,0.8861457531637719,0.9874683404647268,0.9922158220004602
