layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.395774419379034,0.13828125048432724,0.7809382467083924,0.2681037609443825,57,0.11704312114989733,240,0.4928131416837782,190,0.39014373716632444,120,0.049443757725587144,1997,0.822826534816646,310,0.1277297074577668,159,0.1958128078817734,450,0.5541871921182266,203,0.25
1,0.3954420694427448,0.13593695548095258,0.780339539897897,0.27004971294938496,58,0.11909650924024641,222,0.45585215605749485,207,0.42505133470225875,135,0.05562422744128554,1972,0.8125257519571487,320,0.13185002060156573,169,0.20812807881773399,433,0.5332512315270936,210,0.25862068965517243
2,0.3984209983090072,0.13535152571238446,0.7832858775324293,0.27662559168220774,60,0.12320328542094455,222,0.45585215605749485,205,0.4209445585215606,151,0.06221672847136382,1970,0.8117016893283889,306,0.1260815822002472,188,0.2315270935960591,411,0.5061576354679803,213,0.2623152709359606
3,0.4184452986580138,0.1841810928092415,0.7894768528704907,0.28167795029430887,82,0.16837782340862423,198,0.406570841889117,207,0.42505133470225875,130,0.053564070869386075,1972,0.8125257519571487,325,0.13391017717346518,193,0.2376847290640394,398,0.49014778325123154,221,0.27216748768472904
4,0.431264120507715,0.2086635577899762,0.7932585457774458,0.2918702579557231,94,0.19301848049281314,192,0.3942505133470226,201,0.4127310061601643,122,0.05026782035434693,1974,0.8133498145859085,331,0.13638236505974455,198,0.2438423645320197,384,0.4729064039408867,230,0.2832512315270936
5,0.42025910818430506,0.18001466248739875,0.793163257089012,0.28759940497650455,81,0.16632443531827515,193,0.39630390143737165,213,0.43737166324435317,139,0.05727235269880511,1985,0.8178821590440873,303,0.12484548825710753,189,0.23275862068965517,400,0.49261083743842365,223,0.2746305418719212
6,0.4170838994753119,0.18168616955218161,0.7936504993099388,0.27591502956381514,82,0.16837782340862423,195,0.4004106776180698,210,0.43121149897330596,131,0.053976102183765966,1988,0.8191182529872271,308,0.126905644829007,198,0.2438423645320197,400,0.49261083743842365,214,0.26354679802955666
7,0.4260985900992511,0.18363181745591234,0.7960955368161221,0.2985684160257189,82,0.16837782340862423,192,0.3942505133470226,213,0.43737166324435317,118,0.048619695096827356,1979,0.815409971157808,330,0.13597033374536466,201,0.24753694581280788,373,0.45935960591133007,238,0.29310344827586204
8,0.44059288086361814,0.22141386675038993,0.8063529457564277,0.2940118300840369,100,0.2053388090349076,191,0.3921971252566735,196,0.4024640657084189,112,0.046147507210548,2030,0.8364235681911826,285,0.11742892459826947,202,0.24876847290640394,387,0.4766009852216749,223,0.2746305418719212
9,0.4376240248055434,0.20747277958769866,0.8042108908736312,0.30118840395530044,92,0.188911704312115,190,0.39014373716632444,205,0.4209445585215606,109,0.04491141326740832,2017,0.831067161104244,301,0.12402142562834775,196,0.2413793103448276,382,0.47044334975369456,234,0.2881773399014778
10,0.44686192463709595,0.22226488547581008,0.8139910848404645,0.30432980359501316,98,0.20123203285420946,182,0.3737166324435318,207,0.42505133470225875,99,0.0407911001236094,2055,0.8467243510506799,273,0.11248454882571075,194,0.23891625615763548,385,0.47413793103448276,233,0.2869458128078818
11,0.44688301798786334,0.23271120088815134,0.8064400873473019,0.3014977657281368,105,0.21560574948665298,181,0.37166324435318276,201,0.4127310061601643,117,0.048207663782447466,2023,0.8335393489905233,287,0.11825298722702926,194,0.23891625615763548,386,0.4753694581280788,232,0.2857142857142857
12,0.44951103886819643,0.23580807251864572,0.8091455838310632,0.3035794602548806,106,0.21765913757700206,181,0.37166324435318276,200,0.4106776180698152,117,0.048207663782447466,2039,0.8401318500206015,271,0.11166048619695097,189,0.23275862068965517,393,0.4839901477832512,230,0.2832512315270936
13,0.464410969428867,0.2773281232718664,0.8136528917697055,0.30225189324502927,128,0.26283367556468173,171,0.351129363449692,188,0.3860369609856263,106,0.043675319324268644,2045,0.8426040379068809,276,0.11372064276885044,200,0.24630541871921183,384,0.4729064039408867,228,0.28078817733990147
14,0.46980663295272035,0.27162593519022016,0.8194773858613331,0.3183165778066078,124,0.2546201232032854,164,0.33675564681724846,199,0.4086242299794661,104,0.042851256695508856,2059,0.8483724763081995,264,0.10877626699629171,195,0.24014778325123154,375,0.4618226600985222,242,0.29802955665024633
15,0.4807809693046754,0.2958328311919171,0.821565687078768,0.32494438964334116,139,0.28542094455852157,156,0.3203285420944558,192,0.3942505133470226,106,0.043675319324268644,2053,0.8459002884219201,268,0.11042439225381129,203,0.25,362,0.4458128078817734,247,0.3041871921182266
16,0.48084161064358444,0.2981652768741871,0.8220182601693107,0.3223412948872554,137,0.2813141683778234,156,0.3203285420944558,194,0.39835728952772076,97,0.03996703749484961,2061,0.8491965389369592,269,0.11083642356819118,197,0.24261083743842365,370,0.45566502463054187,245,0.3017241379310345
