layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.311739609676973,0.12071778140293637,0.7887700534759359,0.025730994152046785,37,0.07597535934291581,438,0.8993839835728953,12,0.024640657084188913,47,0.019365471775854966,2360,0.9723939019365472,20,0.008240626287597858,42,0.05172413793103448,759,0.9347290640394089,11,0.013546798029556651,0.6699030513010711,0.025603622403491788,0.8737241761969973,0.9051381171584785,0.13809439486439612
1,0.3302909301662323,0.13570274636510501,0.7915336804972283,0.06363636363636363,42,0.08624229979466119,430,0.8829568788501027,15,0.030800821355236138,46,0.018953440461475072,2356,0.9707457766790276,25,0.010300782859497322,44,0.054187192118226604,740,0.9113300492610837,28,0.034482758620689655,0.6914128246344783,0.06368394159583318,0.8746161477640481,0.9067675810848689,0.16093784416833418
2,0.3474966259093813,0.16289592760180996,0.7965412004069176,0.08305274971941638,54,0.11088295687885011,415,0.8521560574948666,18,0.03696098562628337,54,0.022249690976514216,2349,0.9678615574783683,24,0.009888751545117428,68,0.08374384236453201,707,0.8706896551724138,37,0.04556650246305419,0.727713228293355,0.08282995084953354,0.8754777816609204,0.9074198776017557,0.20869927574552224
3,0.3803921480879408,0.2347949080622348,0.8030848329048843,0.10329670329670329,83,0.1704312114989733,383,0.7864476386036962,21,0.043121149897330596,54,0.022249690976514216,2343,0.965389369592089,30,0.012360939431396786,83,0.1022167487684729,682,0.8399014778325123,47,0.05788177339901478,0.7587090986783952,0.1031773200771738,0.8752672957071491,0.9124259948771428,0.2942928790254471
4,0.3739824886211427,0.226890756302521,0.8003430531732418,0.0947136563876652,81,0.16632443531827515,388,0.7967145790554415,18,0.03696098562628337,59,0.024309847548413678,2333,0.9612690564482901,35,0.01442109600329625,87,0.10714285714285714,682,0.8399014778325123,43,0.05295566502463054,0.7685815538057312,0.09444019643361357,0.8743820906602245,0.9106345248897073,0.28360082949830273
5,0.38941624049590523,0.26455026455026454,0.80248833592535,0.10121012101210121,100,0.2053388090349076,367,0.7535934291581109,20,0.04106776180698152,74,0.030490317264112072,2322,0.9567367119901112,31,0.01277297074577668,95,0.11699507389162561,671,0.8263546798029556,46,0.05665024630541872,0.7820841162613899,0.10120756489547841,0.8751283418215557,0.9118463256844679,0.32994529492088465
6,0.3823242633181803,0.25067385444743934,0.8020006898930666,0.09429824561403509,93,0.19096509240246407,374,0.7679671457905544,20,0.04106776180698152,65,0.026782035434693038,2325,0.957972805933251,37,0.015245158632056036,97,0.11945812807881774,672,0.8275862068965517,43,0.05295566502463054,0.7778326275276679,0.09407943797842802,0.8736926094010904,0.9122242542631515,0.3205711168252867
7,0.39213303998616317,0.29213483146067415,0.8028561476837339,0.0814081408140814,117,0.2402464065708419,346,0.7104722792607803,24,0.049281314168377825,86,0.03543469303667079,2305,0.949732179645653,36,0.014833127317676144,111,0.13669950738916256,664,0.8177339901477833,37,0.04556650246305419,0.7928227066528625,0.08144866875380166,0.8723735952068502,0.9132104595697064,0.37613723441309654
8,0.42567979865163935,0.3421686746987952,0.8168517539220871,0.11801896733403583,142,0.2915811088295688,302,0.6201232032854209,43,0.08829568788501027,72,0.029666254635352288,2317,0.9546765554182118,38,0.015657189946435928,129,0.15886699507389163,627,0.7721674876847291,56,0.06896551724137931,0.8242783567189953,0.11711103873014986,0.8712843359443326,0.9242955098576123,0.48103476211518625
9,0.4374133867799004,0.3649122807017544,0.8197128168764404,0.12761506276150628,156,0.3203285420944558,282,0.5790554414784395,49,0.10061601642710473,81,0.03337453646477132,2312,0.9526163988463123,34,0.014009064688916358,131,0.16133004926108374,620,0.7635467980295566,61,0.07512315270935961,0.8373686978179805,0.12615676135219056,0.8716061120086007,0.9265152954095395,0.5139004341768605
