layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth
0,0.552339165050551,0.6319702674008795,0.7094782806171096,0.3155689471336641,2194,0.6275743707093822,1145,0.3275171624713959,157,0.04490846681922197,812,0.1471547662196448,4452,0.8068140630663284,254,0.04603117071402682,440,0.18318068276436303,1435,0.5974188176519567,527,0.21940049958368027
1,0.5635831277633168,0.6659075275290898,0.7136788339586051,0.3111630218022553,2358,0.6744851258581236,968,0.2768878718535469,170,0.04862700228832952,817,0.14806089162740124,4411,0.7993838347227257,290,0.05255527364987314,411,0.17110741049125727,1464,0.6094920899250624,527,0.21940049958368027
2,0.6243080615084671,0.7612726043616693,0.7572264519150742,0.35442512824865763,2672,0.7643020594965675,633,0.18106407322654464,191,0.05463386727688787,535,0.09695541862993838,4632,0.83943457774556,351,0.06361000362450163,317,0.13197335553705244,1451,0.6040799333888426,634,0.2639467110741049
3,0.6297946733148564,0.7502425282010631,0.7528721808997422,0.38626931084376415,2644,0.7562929061784897,653,0.18678489702517162,199,0.05692219679633867,584,0.10583544762595143,4548,0.8242116708952519,386,0.06995288147879666,324,0.13488759367194006,1363,0.56744379683597,715,0.29766860949208995
4,0.6854593672905079,0.8514193362542404,0.794525165622479,0.4104335999948045,2958,0.8461098398169337,358,0.10240274599542334,180,0.05148741418764302,306,0.05545487495469373,4827,0.8747734686480609,385,0.06977165639724538,188,0.07826810990840966,1448,0.6028309741881765,766,0.3189009159034138
5,0.6456003684695494,0.7806737708932842,0.7713896541618631,0.3847376803535009,2734,0.7820366132723112,557,0.15932494279176201,205,0.05863844393592677,467,0.08463211308445089,4685,0.8490395070677782,366,0.06632837984777093,307,0.12781015820149874,1387,0.577435470441299,708,0.29475437135720234
6,0.6070098329607917,0.6896600387124698,0.7407528941881544,0.390616565981751,2412,0.6899313501144165,849,0.24284897025171626,235,0.06721967963386728,692,0.1254077564334904,4504,0.8162377673069953,322,0.058354476259514315,394,0.16402997502081598,1290,0.537052456286428,718,0.29891756869275604
7,0.6020568956055096,0.674876370606908,0.7333706163584871,0.39792369985113385,2333,0.6673340961098398,946,0.2705949656750572,217,0.062070938215102976,691,0.12522653135193912,4479,0.8117071402682131,348,0.06306632837984777,393,0.16361365528726063,1272,0.5295587010824313,737,0.30682764363030807
8,0.6762192692011877,0.8126933783581256,0.7830506059966875,0.43291382324875005,2839,0.812070938215103,489,0.1398741418764302,168,0.04805491990846682,398,0.0721275824574121,4719,0.8552011598405219,401,0.07267125770206596,254,0.10574521232306411,1327,0.5524562864279767,821,0.3417985012489592
9,0.7351419965497449,0.9213512889114004,0.8208597724369724,0.4632149283008616,3209,0.9179061784897025,173,0.04948512585812357,114,0.03260869565217391,139,0.02519028633562885,4926,0.8927147517216383,453,0.08209496194273287,122,0.0507910074937552,1385,0.5766028309741882,895,0.3726061615320566
