layer,f1_macro,f1_deception,f1_honest_mistake,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_truth,cm_norm_deception_truth,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_truth,cm_norm_truth_truth,stage2_auroc,stage1_f1_truth,stage1_f1_non_truth,stage2_f1_honest_mistake,stage2_f1_deception
0,0.5272842591018353,0.6284737067122702,0.7112983770287141,0.2420806935645215,2205,0.630720823798627,1203,0.3441075514874142,88,0.02517162471395881,814,0.14751721638274737,4558,0.8260239217107648,146,0.026458861906487857,502,0.208992506244796,1537,0.6398834304746045,363,0.1511240632805995,0.8321701885463829,0.24213279702352386,0.8853879258552111,0.8186290458470751,0.6848299904739983
1,0.5469070384591421,0.6656346749226006,0.7115902964959568,0.2634961439588689,2365,0.676487414187643,1042,0.29805491990846683,89,0.02545766590389016,819,0.14842334179050382,4488,0.8133381660021747,211,0.03823849220732149,426,0.17735220649458786,1566,0.6519567027477102,410,0.17069109075770192,0.8563318567114859,0.2636319653240395,0.8837678453537418,0.8312075476068859,0.7181652645704957
2,0.6037782983184827,0.7608726249120338,0.7525244430197147,0.2979378270236996,2703,0.7731693363844394,696,0.19908466819221968,97,0.027745995423340962,557,0.10094237042406669,4695,0.850851757883291,266,0.04820587169264226,349,0.14529558701082432,1569,0.6532056619483764,484,0.20149875104079934,0.9219505741793803,0.29758354533163384,0.8835246359054949,0.8851892029232955,0.8120029581078743
3,0.61572015752201,0.7527154746790803,0.7526951446867147,0.3417498532002349,2668,0.7631578947368421,714,0.204233409610984,114,0.03260869565217391,567,0.10275462123957955,4643,0.8414280536426242,308,0.0558173251177963,358,0.14904246461282264,1462,0.6086594504579517,582,0.24229808492922564,0.9192619568837909,0.3416860180888157,0.8845851500186084,0.8817981810084676,0.8056286331200205
4,0.6654294106044063,0.8500786051164785,0.7862775384115113,0.3599320882852292,2974,0.8506864988558352,410,0.11727688787185354,112,0.032036613272311214,298,0.054005074302283435,4836,0.8764044943820225,384,0.06959043131569409,229,0.09533721898417985,1537,0.6398834304746045,636,0.26477935054121565,0.9664038246688094,0.3596857709349255,0.8827801837966189,0.9341901595985501,0.8928302448410534
5,0.6284873128401657,0.780625973658122,0.765623736761258,0.339212228101117,2756,0.7883295194508009,611,0.17477116704805493,129,0.036899313501144164,489,0.08861906487857919,4735,0.8581007611453425,294,0.05328017397607829,320,0.13322231473771856,1505,0.6265611990008326,577,0.2402164862614488,0.9367493901331827,0.33928266212857106,0.884298510085365,0.8979298323450055,0.8333982398293873
6,0.5812699637491381,0.6890803785845458,0.7333547764554519,0.32137473620741636,2439,0.6976544622425629,922,0.2637299771167048,135,0.038615560640732266,711,0.12885103298296485,4560,0.8263863718738673,247,0.04476259514316781,433,0.18026644462947544,1436,0.5978351373855121,533,0.2218984179850125,0.8873143587003671,0.3214529993344283,0.8846485361338781,0.8508220337561776,0.7512121984288755
7,0.5791024875657934,0.6751211171273868,0.7280617164898746,0.3341246290801187,2369,0.6776315789473685,992,0.2837528604118993,135,0.038615560640732266,718,0.13011960855382385,4530,0.8209496194273287,270,0.04893077201884741,435,0.18109908409658618,1404,0.5845129059117402,563,0.2343880099916736,0.880934586452258,0.334223166166055,0.8846943977108351,0.8455075663325917,0.7383562244073751
8,0.6613905027854287,0.8137852786838746,0.7800179577177373,0.3903682719546742,2869,0.8206521739130435,513,0.14673913043478262,114,0.03260869565217391,415,0.07520840884378398,4778,0.8658934396520478,325,0.058898151504168175,271,0.11282264779350541,1442,0.6003330557868443,689,0.2868442964196503,0.9504968939816253,0.3903182277419034,0.8885030593926689,0.914493826386062,0.8611335954881241
9,0.7256348029289295,0.9193732193732194,0.8205382202410434,0.43699296917252567,3227,0.9230549199084668,185,0.052917620137299774,84,0.02402745995423341,144,0.026096411743385284,4970,0.9006886553098948,404,0.07321493294671982,153,0.0636969192339717,1441,0.5999167360532889,808,0.33638634471273937,0.9927443829814495,0.4368526087658,0.8911858517259249,0.9697764652013958,0.9517543265779421
